Script started on 2024-04-23 14:39:30+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'False', 'radar2_en': 'True', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '-1000.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '-3000.0', 'radar2_a': '-45.0', 'radar3_x': '-3000.0', 'radar3_y': '3000.0', 'radar3_a': '-135.0', 'radar4_x': '3000.0', 'radar4_y': '-1000.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:40:23 [(-255.01, 176.32)]
14:40:23 [(-252.89, 169.96)]
14:40:23 [(-252.18, 167.84)]
14:40:23 [(-252.89, 165.72)]
14:40:23 [(-254.3, 165.72)]
14:40:23 [(-255.72, 164.3)]
14:40:23 [(-257.13, 164.3)]
14:40:24 [(-258.55, 162.89)]
14:40:24 [(-259.96, 162.89)]
14:40:24 [(-260.67, 163.6)]
14:40:24 [(-258.55, 162.89)]
14:40:24 [(-257.13, 161.47)]
14:40:24 [(-256.43, 160.77)]
14:40:24 [(-257.84, 162.18)]
14:40:24 [(-257.84, 163.6)]
14:40:24 [(-257.13, 165.72)]
14:40:24 [(-255.72, 168.55)]
14:40:24 [(-251.48, 169.96)]
14:40:26 [(-246.53, 172.08)]
14:40:26 [(-242.28, 172.08)]
14:40:26 [(-238.75, 172.79)]
14:40:26 [(-237.33, 171.37)]
14:40:26 [(-241.58, 164.3)]
14:40:26 [(-244.4, 161.47)]
14:40:26 [(-245.11, 157.94)]
14:40:26 [(-247.94, 155.11)]
14:40:26 [(-252.18, 150.87)]
14:40:26 [(-257.13, 147.33)]
14:40:26 [(-260.67, 133.9)]
14:40:26 [(-265.62, 126.12)]
14:40:26 [(-267.74, 115.51)]
14:40:26 [(-274.1, 102.08)]
14:40:26 [(-303.09, 67.43)]
14:40:26 [(-334.21, 33.49)]
14:40:26 [(-363.91, -3.28)]
14:40:26 [(-398.55, -33.69)]
14:40:26 [(-454.42, -98.03)]
14:40:26 [(-515.23, -161.67)]
14:40:27 [(-571.8, -228.14)]
14:40:27 [(-622.0, -303.8)]
14:40:27 [(-667.96, -373.81)]
14:40:27 [(-725.24, -435.32)]
14:40:27 [(-781.81, -493.31)]
14:40:27 [(-841.91, -543.51)]
14:40:27 [(-891.41, -601.49)]
14:40:27 [(-932.42, -663.72)]
14:40:27 [(-976.26, -734.43)]
14:40:27 [(-1028.59, -795.24)]
14:40:27 [(-1083.74, -850.4)]
14:40:28 [(-1148.79, -899.89)]
14:40:28 [(-1199.71, -953.63)]
14:40:28 [(-1249.91, -1005.25)]
14:40:28 [(-1315.67, -1046.97)]
14:40:28 [(-1372.95, -1105.66)]
14:40:28 [(-1421.74, -1174.25)]
14:40:28 [(-1466.29, -1235.77)]
14:40:28 [(-1510.83, -1297.29)]
14:40:28 [(-1549.72, -1354.56)]
14:40:28 [(-1590.03, -1410.42)]
14:40:28 [(-1626.09, -1464.87)]
14:40:29 [(-1660.03, -1520.03)]
14:40:29 [(-1715.19, -1570.94)]
14:40:29 [(-1767.51, -1619.02)]
14:40:29 [(-1810.65, -1672.05)]
14:40:29 [(-1833.98, -1742.06)]
14:40:29 [(-1874.99, -1802.87)]
14:40:29 [(-1944.29, -1867.92)]
14:40:29 [(-2016.41, -1924.49)]
14:40:29 [(-2077.23, -1972.57)]
14:40:29 [(-2132.38, -2024.9)]
14:40:29 [(-2184.0, -2076.52)]
14:40:30 [(-2218.65, -2121.07)]
14:40:30 [(-2260.37, -2168.44)]
14:40:30 [(-2298.55, -2210.87)]
14:40:30 [(-2342.39, -2247.64)]
14:40:30 [(-2384.82, -2281.58)]
14:40:30 [(-2425.83, -2309.86)]
14:40:30 [(-2464.72, -2336.03)]
14:40:30 [(-2498.66, -2357.24)]
14:40:30 [(-2537.55, -2377.75)]
14:40:30 [(-2572.91, -2394.72)]
14:40:30 [(-2600.48, -2410.98)]
14:40:30 [(-2606.85, -2428.66)]
14:40:31 [(-2616.75, -2439.97)]
14:40:31 [(-2621.7, -2442.09)]
14:40:31 [(-2625.94, -2442.09)]
14:40:31 [(-2628.06, -2439.97)]
14:40:31 [(-2627.35, -2435.02)]
14:40:31 [(-2625.94, -2433.61)]
14:40:31 [(-2623.82, -2431.49)]
14:40:31 [(-2620.28, -2429.36)]
14:40:31 [(-2616.75, -2427.24)]
14:40:31 [(-2609.68, -2425.83)]
14:40:31 [(-2601.19, -2423.0)]
14:40:32 [(-2591.29, -2421.59)]
14:40:32 [(-2580.69, -2419.47)]
14:40:32 [(-2570.79, -2416.64)]
14:40:32 [(-2560.18, -2411.69)]
14:40:32 [(-2550.28, -2407.44)]
14:40:32 [(-2536.85, -2402.49)]
