Script started on 2024-04-23 14:06:52+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Connected to MQTT broker.
14:07:22 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:28 []
14:07:28 [(-1580.5, 1670.5)]
14:07:28 [(-1565.5, 1574.0)]
14:07:28 [(-1550.5, 1489.5)]
14:07:28 [(-1534.0, 1409.5)]
14:07:28 [(-1663.67, 1281.67)]
14:07:28 [(-1550.75, 1301.0)]
14:07:28 [(-1524.75, 1264.0)]
14:07:28 [(-1485.75, 1231.25)]
14:07:28 [(-1434.75, 1191.5)]
14:07:28 [(-1373.0, 1146.75)]
14:07:29 [(-1311.75, 1101.25)]
14:07:29 [(-1104.0, 1126.67)]
14:07:29 [(-1034.33, 1057.67)]
14:07:29 [(-967.0, 993.33)]
14:07:29 [(-780.25, 952.75)]
14:07:29 [(-739.25, 873.75)]
14:07:29 [(-693.0, 801.75)]
14:07:29 [(-648.75, 742.25)]
14:07:29 [(-594.75, 683.0)]
14:07:29 [(-532.75, 634.0)]
14:07:29 [(-472.75, 590.75)]
14:07:29 [(-416.75, 545.5)]
14:07:30 [(-369.0, 493.5)]
14:07:30 [(-327.25, 441.75)]
14:07:30 [(-292.0, 382.5)]
14:07:30 [(-260.75, 316.5)]
14:07:30 [(-227.75, 245.0)]
14:07:30 [(-196.75, 175.25)]
14:07:30 [(-166.25, 127.25)]
14:07:30 [(-140.0, 78.5)]
14:07:30 [(-106.25, 25.75)]
14:07:30 [(-67.75, -12.75)]
14:07:30 [(-21.0, -51.75)]
14:07:31 [(25.75, -82.0)]
14:07:31 [(75.0, -104.25)]
14:07:31 [(118.25, -130.25)]
14:07:31 [(56.67, -244.0)]
14:07:31 [(196.0, -176.0)]
14:07:31 [(131.0, -287.33)]
14:07:31 [(167.33, -298.0)]
14:07:31 [(180.67, -307.0)]
14:07:31 [(185.0, -325.0)]
14:07:31 [(182.67, -335.0)]
14:07:31 [(155.33, -322.67)]
14:07:32 [(140.0, -315.67)]
14:07:32 [(123.33, -307.67)]
14:07:32 [(95.33, -290.33)]
14:07:32 [(66.0, -276.0)]
14:07:32 [(34.33, -263.0)]
14:07:32 [(8.67, -245.67)]
14:07:32 [(89.0, -134.5)]
14:07:32 [(44.75, -92.75)]
14:07:32 [(6.25, -43.0)]
14:07:32 [(-34.5, 3.0)]
14:07:32 [(-86.75, 54.5)]
14:07:33 [(-152.0, 123.5)]
14:07:33 [(-218.25, 198.25)]
14:07:33 [(-307.0, 281.25)]
14:07:33 [(-387.5, 357.5)]
14:07:33 [(-471.25, 431.75)]
14:07:33 [(-552.75, 502.5)]
14:07:33 [(-636.5, 574.5)]
14:07:33 [(-730.0, 657.25)]
14:07:33 [(-833.0, 728.5)]
14:07:33 [(-910.5, 813.5)]
14:07:33 [(-996.75, 899.25)]
14:07:33 [(-1085.0, 978.5)]
14:07:34 [(-1177.5, 1056.5)]
14:07:34 [(-1272.25, 1134.0)]
14:07:34 [(-1358.25, 1210.75)]
14:07:34 [(-1449.25, 1278.5)]
14:07:34 [(-1548.0, 1329.0)]
14:07:34 [(-1653.75, 1367.5)]
14:07:34 [(-1812.33, 1336.0)]
14:07:34 [(-1903.67, 1384.0)]
14:07:34 [(-1990.33, 1430.33)]
14:07:34 [(-2072.33, 1471.67)]
14:07:34 [(-2160.33, 1502.0)]
14:07:35 [(-2252.33, 1532.0)]
14:07:35 [(-2336.33, 1562.33)]
14:07:35 [(-2415.0, 1594.67)]
14:07:35 [(-2489.67, 1638.33)]
14:07:35 [(-2558.0, 1695.33)]
14:07:35 [(-2687.5, 1655.5)]
14:07:35 []
14:07:35 []
14:07:35 []
14:07:35 []
14:07:35 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:36 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:37 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:38 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:39 []
14:07:40 []
14:07:40 []
14:07:40 []
14:07:40 []
