Script started on 2024-04-23 14:21:20+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Connected to MQTT broker.
14:21:37 [(-89.75, -102.5)]
14:21:38 [(-87.0, -100.0)]
14:21:38 [(-84.25, -97.0)]
14:21:38 [(-82.75, -95.25)]
14:21:38 [(-82.5, -94.75)]
14:21:38 [(-82.5, -95.0)]
14:21:38 [(-83.25, -97.5)]
14:21:38 [(-86.75, -98.5)]
14:21:38 [(-90.5, -99.75)]
14:21:38 [(-94.25, -100.75)]
14:21:38 [(-97.0, -100.5)]
14:21:38 [(-100.25, -102.0)]
14:21:38 [(-106.5, -109.75)]
14:21:39 [(-103.75, -112.25)]
14:21:39 [(-98.25, -114.0)]
14:21:39 [(-93.0, -117.0)]
14:21:39 [(-94.5, -121.25)]
14:21:39 [(-95.5, -120.5)]
14:21:39 [(-98.0, -119.5)]
14:21:39 [(-100.25, -118.25)]
14:21:39 [(-102.5, -117.25)]
14:21:39 [(-103.0, -115.25)]
14:21:39 [(-102.5, -114.25)]
14:21:39 [(-100.5, -116.5)]
14:21:40 [(-95.75, -120.0)]
14:21:40 [(-87.5, -126.25)]
14:21:40 [(-81.5, -129.25)]
14:21:40 [(-74.75, -128.75)]
14:21:40 [(-65.0, -127.75)]
14:21:40 [(-56.0, -130.5)]
14:21:40 [(-52.25, -130.25)]
14:21:40 [(-51.5, -129.25)]
14:21:40 [(-46.25, -124.0)]
14:21:40 [(-45.0, -123.0)]
14:21:40 [(-47.0, -123.0)]
14:21:41 [(-51.25, -122.75)]
14:21:41 [(-55.5, -122.5)]
14:21:41 [(-59.75, -123.0)]
14:21:41 [(-62.0, -123.5)]
14:21:41 [(-61.75, -124.0)]
14:21:41 [(-61.75, -123.5)]
14:21:41 [(-62.75, -122.5)]
14:21:41 [(-64.25, -122.0)]
14:21:41 [(-66.75, -123.0)]
14:21:41 [(-70.0, -123.5)]
14:21:41 [(-73.75, -124.75)]
14:21:42 [(-77.5, -124.75)]
14:21:42 [(-80.0, -124.75)]
14:21:42 [(-81.0, -126.5)]
14:21:42 [(-81.0, -127.5)]
14:21:42 [(-81.0, -128.25)]
14:21:42 [(-82.25, -131.5)]
14:21:42 [(-83.25, -135.5)]
