Script started on 2024-04-29 14:06:23+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'True', 'radar2_en': 'False', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:07:27 [(-349.0, -1944.0)]
14:07:27 [(-358.0, -1915.0)]
14:07:27 [(-378.0, -1885.0)]
14:07:27 [(-394.0, -1873.0)]
14:07:28 [(-408.0, -1866.0)]
14:07:28 [(-419.0, -1854.0)]
14:07:28 [(-426.0, -1843.0)]
14:07:28 [(-433.0, -1832.0)]
14:07:28 [(-435.0, -1822.0)]
14:07:28 [(-447.0, -1814.0)]
14:07:28 [(-458.0, -1807.0)]
14:07:28 [(-465.0, -1802.0)]
14:07:28 [(-469.0, -1794.0)]
14:07:28 [(-473.0, -1788.0)]
14:07:28 [(-476.0, -1781.0)]
14:07:28 [(-485.0, -1773.0)]
14:07:29 [(-492.0, -1764.0)]
14:07:29 [(-496.0, -1755.0)]
14:07:29 [(-505.0, -1746.0)]
14:07:29 [(-518.0, -1731.0)]
14:07:29 [(-533.0, -1713.0)]
14:07:29 [(-545.0, -1691.0)]
14:07:29 [(-555.0, -1667.0)]
14:07:29 [(-565.0, -1641.0)]
14:07:29 [(-588.0, -1593.0)]
14:07:29 [(-611.0, -1554.0)]
14:07:29 [(-631.0, -1517.0)]
14:07:30 [(-640.0, -1485.0)]
14:07:30 [(-645.0, -1465.0)]
14:07:30 [(-656.0, -1441.0)]
14:07:30 [(-671.0, -1386.0)]
14:07:30 [(-689.0, -1331.0)]
14:07:30 [(-714.0, -1279.0)]
14:07:30 [(-735.0, -1224.0)]
14:07:30 [(-762.0, -1168.0)]
14:07:30 [(-804.0, -1122.0)]
14:07:30 [(-831.0, -1071.0)]
14:07:31 [(-855.0, -1022.0)]
