Script started on 2024-04-29 14:51:01+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Connected to MQTT broker.
14:51:23 [(-1791.0, -711.5)]
14:51:23 [(-1690.0, -677.5)]
14:51:23 [(-1597.0, -654.5)]
14:51:23 [(-1497.0, -637.0)]
14:51:23 [(-1394.5, -634.0)]
14:51:23 [(-1294.5, -619.5)]
14:51:23 [(-1201.5, -590.5)]
14:51:24 [(-1102.0, -560.0)]
14:51:24 [(-1010.5, -531.0)]
14:51:24 [(-927.0, -490.5)]
14:51:24 [(-846.0, -446.0)]
14:51:24 [(-766.0, -410.0)]
14:51:24 [(-687.0, -377.0)]
14:51:24 [(-577.0, -331.0)]
14:51:24 [(-506.0, -301.5)]
14:51:24 [(-449.0, -254.0)]
14:51:24 [(-395.0, -214.0)]
14:51:24 [(-328.5, -182.0)]
14:51:25 [(-274.0, -161.0)]
14:51:25 [(-224.5, -137.5)]
14:51:25 [(-178.5, -115.0)]
14:51:25 [(-155.5, -109.0)]
14:51:25 [(-137.0, -101.5)]
14:51:25 [(-123.5, -96.0)]
14:51:25 [(-110.5, -90.5)]
14:51:25 [(-99.5, -76.5)]
14:51:25 [(-89.5, -67.5)]
14:51:25 [(-80.0, -65.5)]
14:51:25 [(-72.0, -62.5)]
14:51:26 [(-60.0, -60.5)]
14:51:26 [(-50.5, -57.5)]
14:51:26 [(-37.0, -51.0)]
14:51:26 [(-25.5, -34.5)]
14:51:26 [(-6.0, -6.5)]
14:51:26 [(-2.5, -11.5)]
14:51:26 [(2.5, -14.0)]
14:51:26 [(3.5, -18.5)]
14:51:26 [(4.0, -18.5)]
14:51:26 [(4.0, -18.0)]
14:51:27 [(4.0, -16.5)]
14:51:27 [(4.0, -15.0)]
14:51:27 [(4.0, -12.0)]
14:51:27 [(7.0, -2.5)]
14:51:27 [(9.0, 2.5)]
14:51:27 [(10.5, -5.5)]
14:51:27 [(11.0, -8.5)]
14:51:27 [(10.5, -21.0)]
14:51:27 [(10.0, -32.5)]
14:51:27 [(9.5, -40.0)]
14:51:27 [(8.0, -45.5)]
14:51:27 [(10.5, -47.0)]
14:51:27 [(13.5, -49.5)]
14:51:28 [(18.0, -51.0)]
14:51:28 [(24.5, -52.0)]
14:51:28 [(31.5, -53.5)]
14:51:28 [(48.0, -56.0)]
14:51:28 [(66.0, -62.5)]
14:51:28 [(87.0, -67.5)]
14:51:28 [(109.0, -68.5)]
14:51:28 [(143.0, -68.5)]
14:51:28 [(173.0, -62.5)]
14:51:28 [(201.5, -54.5)]
14:51:28 [(226.0, -45.0)]
14:51:29 [(258.0, -42.5)]
14:51:29 [(289.5, -44.0)]
14:51:29 [(339.0, -42.0)]
14:51:29 [(368.0, -39.5)]
14:51:29 [(389.0, -36.5)]
14:51:29 [(405.5, -32.5)]
14:51:29 [(419.5, -31.5)]
14:51:29 [(436.0, -28.0)]
14:51:29 [(448.0, -22.5)]
14:51:29 [(455.5, -12.0)]
14:51:29 [(458.5, 2.0)]
14:51:30 [(459.0, 17.0)]
14:51:30 [(462.0, 33.5)]
14:51:30 [(465.5, 49.5)]
14:51:30 [(469.5, 71.0)]
14:51:30 [(470.5, 90.5)]
14:51:30 [(474.5, 129.0)]
14:51:30 [(476.0, 169.0)]
14:51:30 [(475.0, 209.5)]
14:51:30 [(478.5, 276.5)]
14:51:30 [(484.5, 338.5)]
14:51:30 [(491.5, 404.5)]
14:51:30 [(509.5, 460.0)]
14:51:31 [(516.0, 518.5)]
14:51:31 []
14:51:31 []
14:51:31 []
14:51:31 []
14:51:31 []
14:51:31 []
14:51:31 []
14:51:31 [(539.0, 998.0)]
14:51:31 [(533.5, 1019.5)]
14:51:31 [(526.0, 1038.0)]
14:51:32 [(512.0, 1031.0)]
14:51:32 [(495.0, 1027.0)]
14:51:32 [(477.0, 1023.5)]
14:51:32 [(457.5, 1022.5)]
14:51:32 [(421.0, 1012.5)]
14:51:32 [(373.5, 998.0)]
14:51:32 [(322.5, 984.5)]
14:51:32 [(256.0, 987.5)]
14:51:32 [(188.5, 982.0)]
14:51:32 [(121.0, 969.5)]
14:51:32 [(23.5, 957.0)]
14:51:33 [(-63.0, 944.5)]
14:51:33 [(-144.0, 940.0)]
14:51:33 [(-218.0, 921.0)]
14:51:33 [(-287.5, 908.5)]
14:51:33 [(-357.0, 908.0)]
14:51:33 [(-424.5, 919.5)]
14:51:33 [(-476.0, 931.0)]
14:51:33 [(-520.0, 944.5)]
14:51:33 [(-546.5, 945.5)]
14:51:33 [(-579.5, 941.0)]
14:51:33 [(-615.5, 948.5)]
14:51:34 [(-640.5, 971.5)]
14:51:34 [(-671.0, 991.0)]
14:51:34 [(-713.5, 1014.5)]
14:51:34 [(-765.0, 1018.0)]
14:51:34 [(-801.5, 1019.5)]
14:51:34 [(-844.0, 1021.5)]
14:51:34 [(-871.0, 1019.5)]
14:51:34 [(-883.0, 1020.0)]
14:51:34 [(-901.0, 1031.0)]
14:51:34 [(-909.0, 1035.5)]
14:51:34 [(-914.0, 1030.5)]
14:51:35 [(-917.0, 1025.0)]
14:51:35 [(-915.5, 1022.5)]
14:51:35 [(-909.0, 1022.0)]
14:51:35 [(-906.0, 1021.0)]
14:51:35 [(-895.0, 1003.5)]
14:51:35 [(-887.0, 989.0)]
14:51:35 [(-883.0, 975.0)]
14:51:35 [(-879.5, 960.5)]
14:51:35 [(-876.0, 944.5)]
14:51:36 [(-875.5, 923.5)]
14:51:36 [(-878.0, 877.0)]
14:51:36 [(-874.0, 834.5)]
14:51:36 [(-868.5, 788.0)]
14:51:36 [(-863.0, 741.5)]
14:51:36 [(-859.0, 662.5)]
14:51:36 [(-855.5, 588.0)]
Connected to MQTT broker.
14:51:49 [(-4.5, -24.0)]
14:51:49 [(-5.0, -30.0)]
14:51:49 [(-5.5, -34.0)]
14:51:49 [(-5.5, -36.0)]
14:51:49 [(-5.5, -37.5)]
14:51:49 [(-4.5, -37.5)]
14:51:50 [(-3.0, -34.5)]
14:51:50 [(-1.5, -32.0)]
14:51:50 [(-0.5, -27.5)]
14:51:50 [(0.0, -24.5)]
14:51:50 [(0.0, -24.0)]
14:51:50 [(1.0, -26.5)]
14:51:50 [(2.0, -28.0)]
14:51:50 [(3.0, -26.5)]
14:51:50 [(3.5, -24.0)]
14:51:50 [(2.0, -20.0)]
14:51:50 [(1.5, -15.5)]
14:51:51 [(1.5, -14.5)]
14:51:51 [(2.0, -16.0)]
14:51:51 [(2.5, -22.5)]
14:51:51 [(4.5, -27.5)]
14:51:51 [(7.5, -29.0)]
14:51:51 [(9.0, -27.5)]
14:51:51 [(10.5, -24.0)]
14:51:51 [(11.0, -21.5)]
14:51:51 [(12.0, -22.0)]
14:51:51 [(11.5, -20.5)]
14:51:51 [(12.5, -21.0)]
14:51:52 [(13.0, -22.0)]
14:51:52 [(14.0, -25.0)]
14:51:52 [(13.5, -28.0)]
14:51:52 [(9.5, -28.0)]
14:51:52 [(5.0, -27.0)]
14:51:52 [(3.0, -26.5)]
14:51:52 [(3.5, -26.5)]
14:51:52 [(5.0, -27.0)]
14:51:52 [(7.5, -29.0)]
14:51:52 [(10.0, -31.0)]
14:51:52 [(12.0, -29.5)]
14:51:53 [(13.0, -27.5)]
14:51:53 [(16.5, -25.5)]
14:51:53 [(19.5, -23.5)]
14:51:53 [(21.5, -21.0)]
14:51:53 [(22.0, -17.5)]
14:51:53 [(20.5, -13.0)]
14:51:53 [(18.5, -8.0)]
14:51:53 [(18.0, -5.0)]
