Script started on 2024-04-29 14:55:11+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
^[[B^[[DConfig updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '2', 'radar1_en': 'True', 'radar2_en': 'True', 'radar3_en': 'True', 'radar4_en': 'True', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:55:41 [(-1283.0, -822.75)]
14:55:41 [(-1196.5, -796.75)]
14:55:41 [(-1107.5, -768.25)]
14:55:41 [(-1021.75, -733.25)]
14:55:41 [(-937.75, -691.0)]
14:55:41 [(-860.25, -650.25)]
14:55:41 [(-790.75, -598.0)]
14:55:42 [(-733.0, -545.0)]
14:55:42 [(-677.25, -494.0)]
14:55:42 [(-618.75, -446.5)]
14:55:42 [(-562.0, -399.25)]
14:55:42 [(-505.5, -351.0)]
14:55:42 [(-448.25, -308.0)]
14:55:42 [(-392.0, -275.75)]
14:55:42 [(-321.75, -241.75)]
14:55:42 [(-269.5, -213.0)]
14:55:42 [(-222.0, -185.75)]
14:55:42 [(-175.75, -162.75)]
14:55:43 [(-134.75, -141.25)]
14:55:43 [(-106.75, -129.0)]
14:55:43 [(-80.0, -122.25)]
14:55:43 [(-60.25, -119.0)]
14:55:43 [(-8.75, -87.25)]
14:55:43 [(2.25, -78.5)]
14:55:43 [(10.25, -71.5)]
14:55:43 [(13.25, -67.0)]
14:55:44 [(10.5, -64.5)]
14:55:44 [(5.0, -64.75)]
14:55:44 [(6.25, -66.5)]
14:55:44 [(7.25, -68.0)]
14:55:44 [(8.0, -70.75)]
14:55:44 [(5.5, -74.5)]
14:55:44 [(0.25, -76.0)]
14:55:44 [(-2.0, -76.75)]
14:55:44 [(-2.75, -77.5)]
14:55:45 [(-1.5, -77.0)]
14:55:45 [(-0.75, -75.0)]
14:55:45 [(2.0, -71.5)]
14:55:45 [(3.75, -70.25)]
14:55:45 [(5.5, -69.25)]
14:55:45 [(8.5, -68.25)]
14:55:45 [(11.75, -66.75)]
14:55:45 [(17.5, -63.5)]
14:55:45 [(20.25, -63.0)]
14:55:45 [(21.0, -61.0)]
14:55:45 [(20.5, -58.25)]
14:55:46 [(18.75, -59.0)]
14:55:46 [(17.75, -60.5)]
14:55:46 [(18.75, -61.0)]
14:55:46 [(19.75, -60.75)]
14:55:46 [(21.75, -57.0)]
14:55:46 [(24.25, -52.5)]
14:55:46 [(27.5, -48.25)]
14:55:46 [(33.0, -45.25)]
14:55:46 [(38.75, -42.5)]
14:55:46 [(47.25, -42.5)]
14:55:46 [(58.75, -44.25)]
14:55:47 [(72.5, -47.75)]
14:55:47 [(263.5, -53.5)]
14:55:47 [(329.0, -62.25)]
14:55:47 [(345.75, -55.5)]
14:55:48 [(363.0, -46.0)]
14:55:48 [(375.25, -34.75)]
14:55:48 [(387.75, -20.25)]
14:55:48 [(392.75, -9.75)]
14:55:48 [(396.25, 1.25)]
14:55:48 [(397.0, 24.0)]
14:55:48 [(405.25, 52.0)]
14:55:48 [(416.25, 81.5)]
14:55:48 [(425.75, 121.75)]
14:55:48 [(431.5, 185.75)]
14:55:48 [(431.75, 251.25)]
14:55:49 [(424.25, 340.75)]
14:55:49 [(411.75, 439.25)]
14:55:49 [(417.0, 568.0)]
14:55:49 [(429.0, 660.75)]
14:55:49 [(438.0, 717.5)]
14:55:49 [(452.75, 770.5)]
14:55:49 [(467.25, 823.75)]
14:55:49 [(491.5, 870.75)]
14:55:49 [(510.25, 916.5)]
14:55:49 [(533.25, 956.25)]
14:55:50 [(556.25, 995.25)]
14:55:50 [(567.5, 1017.25)]
14:55:50 [(568.0, 1028.0)]
14:55:50 [(557.0, 1037.5)]
14:55:50 [(549.25, 1043.25)]
14:55:50 [(536.0, 1046.5)]
14:55:50 [(518.0, 1049.25)]
14:55:50 [(492.25, 1047.0)]
14:55:50 [(457.5, 1049.0)]
14:55:50 [(424.0, 1051.5)]
14:55:50 [(390.75, 1051.25)]
14:55:50 [(352.25, 1052.75)]
14:55:51 [(297.5, 1049.25)]
14:55:51 [(211.5, 1048.75)]
14:55:51 [(128.75, 1037.25)]
14:55:51 [(62.0, 1027.25)]
14:55:51 [(-5.75, 1023.5)]
14:55:51 [(-80.5, 1019.25)]
14:55:51 [(-146.75, 1016.5)]
14:55:51 [(-228.25, 1011.0)]
14:55:51 [(-342.75, 998.0)]
14:55:51 [(-445.5, 986.5)]
14:55:51 [(-542.75, 968.25)]
14:55:52 [(-636.0, 948.75)]
14:55:52 [(-725.25, 930.5)]
14:55:52 [(-799.75, 924.25)]
14:55:52 [(-870.5, 924.0)]
14:55:52 [(-938.75, 926.5)]
14:55:52 [(-990.25, 931.75)]
14:55:52 [(-1024.5, 926.75)]
14:55:52 [(-952.0, 994.33)]
14:55:53 [(-964.33, 989.33)]
Connected to MQTT broker.
14:56:00 [(1578.25, -770.5)]
14:56:00 [(1559.25, -627.5)]
14:56:00 [(1584.0, -557.0)]
14:56:00 [(1633.0, -507.0)]
14:56:01 [(1540.67, -448.67)]
14:56:01 [(1525.33, -357.0)]
14:56:01 [(1509.67, -270.0)]
14:56:01 [(1486.0, -181.0)]
14:56:01 [(1461.67, -102.67)]
14:56:01 [(1443.67, -23.67)]
14:56:01 [(1433.33, 59.67)]
14:56:01 [(1425.33, 367.0)]
14:56:02 [(1436.33, 532.33)]
14:56:02 [(1439.67, 622.67)]
14:56:02 [(1437.0, 713.0)]
14:56:02 [(1441.0, 1040.67)]
14:56:02 [(1433.0, 1223.33)]
14:56:02 [(1598.75, 1350.25)]
14:56:02 [(1552.5, 1417.25)]
14:56:02 [(1531.75, 1469.0)]
14:56:03 [(1518.25, 1522.25)]
14:56:03 [(1515.0, 1577.5)]
14:56:03 [(1520.75, 1631.25)]
14:56:03 [(1524.0, 1679.75)]
14:56:03 [(1520.25, 1731.5)]
14:56:03 [(1533.5, 1792.25)]
