Coordinate	4radar_woffset	2radar_angled	1radar	2radar_opp	4radar_nooffset
A13	14:07:58	17:05:13	14:09:12	14:23:33	14:34:07
A12	14:08:01	17:05:16	14:09:15	14:23:36	14:34:10
A11	14:08:04	17:05:19	14:09:18	14:23:39	14:34:13
A10	14:08:07	17:05:22	14:09:21	14:23:42	14:34:16
A9	14:08:10	17:05:25	14:09:24	14:23:45	14:34:19
A8	14:08:13	17:05:28	14:09:27	14:23:48	14:34:22
A7	14:08:16	17:05:31	14:09:30	14:23:51	14:34:25
A6	14:08:19	17:05:34	14:09:33	14:23:54	14:34:28
A5	14:08:22	17:05:37	14:09:36	14:23:57	14:34:31
A4	14:08:25	17:05:40	14:09:39	14:24:00	14:34:34
A3	14:08:28	17:05:43	14:09:42	14:24:03	14:34:37
A2	14:08:31	17:05:46	14:09:45	14:24:06	14:34:40
A1	14:08:34	17:05:49	14:09:48	14:24:09	14:34:43
B1	14:08:37	17:05:52	14:09:51	14:24:12	14:34:46
B2	14:08:40	17:05:55	14:09:54	14:24:15	14:34:49
B3	14:08:43	17:05:58	14:09:57	14:24:18	14:34:52
B4	14:08:46	17:06:01	14:10:00	14:24:21	14:34:55
B5	14:08:49	17:06:04	14:10:03	14:24:24	14:34:58
B6	14:08:52	17:06:07	14:10:06	14:24:27	14:35:01
B7	14:08:55	17:06:10	14:10:09	14:24:30	14:35:04
B8	14:08:58	17:06:13	14:10:12	14:24:33	14:35:07
B9	14:09:01	17:06:16	14:10:15	14:24:36	14:35:10
B10	14:09:04	17:06:19	14:10:18	14:24:39	14:35:13
B11	14:09:07	17:06:22	14:10:21	14:24:42	14:35:16
B12	14:09:10	17:06:25	14:10:24	14:24:45	14:35:19
B13	14:09:13	17:06:28	14:10:27	14:24:48	14:35:22
C13	14:09:16	17:06:31	14:10:30	14:24:51	14:35:25
C12	14:09:19	17:06:34	14:10:33	14:24:54	14:35:28
C11	14:09:22	17:06:37	14:10:36	14:24:57	14:35:31
C10	14:09:25	17:06:40	14:10:39	14:25:00	14:35:34
C9	14:09:28	17:06:43	14:10:42	14:25:03	14:35:37
C8	14:09:31	17:06:46	14:10:45	14:25:06	14:35:40
C7	14:09:34	17:06:49	14:10:48	14:25:09	14:35:43
C6	14:09:37	17:06:52	14:10:51	14:25:12	14:35:46
