Coordinate	1radar_2tar_test1	1radar_2tar_test2	1radar_3tar_test1	1radar_3tar_test2
F8F11D8L10H3E4	14:06:16	14:09:03	16:49:15	16:51:43
J7G3E9I5D7L8	14:06:26	14:09:13	16:49:25	16:51:53
F2C6F5J4L2G6	14:06:36	14:09:23	16:49:35	16:52:03
C8G10B10L8D4L9	14:06:46	14:09:33	16:49:45	16:52:13
K4D9F7B10K7L11	14:06:56	14:09:43	16:49:55	16:52:23
H10C8I2I7B12K2	14:07:06	14:09:53	16:50:05	16:52:33
I11L6C3K7E6E10	14:07:16	14:10:03	16:50:15	16:52:43
J7F3J2H2K6I12	14:07:26	14:10:13	16:50:25	16:52:53
I4F3J2F7E10I12	14:07:36	14:10:23	16:50:35	16:53:03
L7L12E8E6C12E4	14:07:46	14:10:33	16:50:45	16:53:13
