Coordinate	2radar_opp_2tar_test1	2radar_opp_2tar_test2	2radar_opp_2tar_test3	2radar_opp_3tar_test1	2radar_opp_3tar_test2
F8F11D8L10H3E4	14:17:49	14:20:41	14:24:13	16:43:50	16:46:21
J7G3E9I5D7L8	14:17:59	14:20:51	14:24:23	16:44:00	16:46:31
F2C6F5J4L2G6	14:18:09	14:21:01	14:24:33	16:44:10	16:46:41
C8G10B10L8D4L9	14:18:19	14:21:11	14:24:43	16:44:20	16:46:51
K4D9F7B10K7L11	14:18:29	14:21:21	14:24:53	16:44:30	16:47:01
H10C8I2I7B12K2	14:18:39	14:21:31	14:25:03	16:44:40	16:47:11
I11L6C3K7E6E10	14:18:49	14:21:41	14:25:13	16:44:50	16:47:21
J7F3J2H2K6I12	14:18:59	14:21:51	14:25:23	16:45:00	16:47:31
I4F3J2F7E10I12	14:19:09	14:22:01	14:25:33	16:45:10	16:47:41
L7L12E8E6C12E4	14:19:19	14:22:11	14:25:43	16:45:20	16:47:51
