Coordinate	2-targets_test1	2targets_test2	3-targets_test1	3-targets_test2	4-targets_test1	4-targets_test2	5-targets_test1	5-targets_test2	6-targets_test1	6-targets_test2
F8F11D8L10H3E4	15:57:10	15:59:37	16:36:32	16:39:08	16:30:37	16:33:23	16:23:54	16:27:08	16:13:33	16:16:14
J7G3E9I5D7L8	15:57:20	15:59:47	16:36:42	16:39:18	16:30:47	16:33:33	16:24:04	16:27:18	16:13:43	16:16:24
F2C6F5J4L2G6	15:57:30	15:59:57	16:36:52	16:39:28	16:30:57	16:33:43	16:24:14	16:27:28	16:13:53	16:16:34
C8G10B10L8D4L9	15:57:40	16:00:07	16:37:02	16:39:38	16:31:07	16:33:53	16:24:24	16:27:38	16:14:03	16:16:44
K4D9F7B10K7L11	15:57:50	16:00:17	16:37:12	16:39:48	16:31:17	16:34:03	16:24:34	16:27:48	16:14:13	16:16:54
H10C8I2I7B12K2	15:58:00	16:00:27	16:37:22	16:39:58	16:31:27	16:34:13	16:24:44	16:27:58	16:14:23	16:17:04
I11L6C3K7E6E10	15:58:10	16:00:37	16:37:32	16:40:08	16:31:37	16:34:23	16:24:54	16:28:08	16:14:33	16:17:14
J7F3J2H2K6I12	15:58:20	16:00:47	16:37:42	16:40:18	16:31:47	16:34:33	16:25:04	16:28:18	16:14:43	16:17:24
I4F3J2F7E10I12	15:58:30	16:00:57	16:37:52	16:40:28	16:31:57	16:34:43	16:25:14	16:28:28	16:14:53	16:17:34
L7L12E8E6C12E4	15:58:40	16:01:07	16:38:02	16:40:38	16:32:07	16:34:53	16:25:24	16:28:38	16:15:03	16:17:44
