Coordinate	2-targets_test1	2targets_test2	3-targets_test1	3-targets_test2	4-targets_test1	4-targets_test2	5-targets_test1	5-targets_test2	6-targets_test1	6-targets_test2
F8F11D8L10H3E4	13:50:34	13:53:07	13:41:28	13:45:08	13:32:27	13:38:18	13:26:10	13:28:42	13:16:02	13:22:31
J7G3E9I5D7L8	13:50:44	13:53:17	13:41:38	13:45:18	13:32:37	13:38:28	13:26:20	13:28:52	13:16:12	13:22:41
F2C6F5J4L2G6	13:50:54	13:53:27	13:41:48	13:45:28	13:32:47	13:38:38	13:26:30	13:29:02	13:16:22	13:22:51
C8G10B10L8D4L9	13:51:04	13:53:37	13:41:58	13:45:38	13:32:57	13:38:59	13:26:40	13:29:12	13:16:32	13:23:01
K4D9F7B10K7L11	13:51:14	13:53:47	13:42:08	13:45:48	13:33:07	13:39:09	13:26:50	13:29:22	13:16:42	13:23:11
H10C8I2I7B12K2	13:51:24	13:53:57	13:42:18	13:45:58	13:33:17	13:39:19	13:27:00	13:29:32	13:16:52	13:23:21
I11L6C3K7E6E10	13:51:34	13:54:07	13:42:28	13:46:08	13:33:27	13:39:29	13:27:10	13:29:42	13:17:02	13:23:31
J7F3J2H2K6I12	13:51:44	13:54:17	13:42:38	13:46:18	13:38:18	13:39:39	13:27:20	13:29:52	13:17:12	13:23:41
I4F3J2F7E10I12	13:51:54	13:54:27	13:42:48	13:46:28	13:38:28	13:39:49	13:27:30	13:30:02	13:17:22	13:23:51
L7L12E8E6C12E4	13:52:04	13:54:37	13:42:58	13:46:38	13:35:59	13:39:59	13:27:40	13:30:12	13:17:32	13:24:31
