Setup	"Distribution
 Number"	Target Number														
		2			3			4			5			6		
		"Correct
Detection"	"Mean 
Distance"	"Standard
Deviation"	"Correct
Detection"	"Mean 
Distance"	"Standard
Deviation"	"Correct
Detection"	"Mean 
Distance"	"Standard
Deviation"	"Correct
Detection"	"Mean 
Distance"	"Standard
Deviation"	"Correct
Detection"	"Mean 
Distance"	"Standard
Deviation"
1radar	1	1	1500.00	0.00	2	1434.26	331.01									
1radar	2	2	2500.00	0.00	3	2784.95	278.15									
1radar	3	1	2500.00	0.00	2	1860.38	453.49									
1radar	4	2	2236.07	0.00	2	1951.37	599.03									
1radar	5	1	4301.16	0.00	2	2876.95	1178.91									
1radar	6	2	2692.58	0.00	2	3655.45	686.30									
1radar	7	2	2915.48	0.00	2	4219.63	928.11									
1radar	8	1	2828.43	0.00	2	2463.33	314.15									
1radar	9	2	1581.14	0.00	2	1586.91	385.21									
1radar	10	1	2500.00	0.00	2	3355.55	637.90									
2radar_angled	1	1	1500.00	0.00	1	1434.26	331.01									
2radar_angled	2	1	2500.00	0.00	2	2784.95	278.15									
2radar_angled	3	1	2500.00	0.00	2	1860.38	453.49									
2radar_angled	4	1	2236.07	0.00	1	1951.37	599.03									
2radar_angled	5	2	4301.16	0.00	0	2876.95	1178.91									
2radar_angled	6	2	2692.58	0.00	1	3655.45	686.30									
2radar_angled	7	0	2915.48	0.00	1	4219.63	928.11									
2radar_angled	8	1	2828.43	0.00	1	2463.33	314.15									
2radar_angled	9	1	1581.14	0.00	0	1586.91	385.21									
2radar_angled	10	2	2500.00	0.00	1	3355.55	637.90									
2radar_opposing	1	1	1500.00	0.00	0	1434.26	331.01									
2radar_opposing	2	1	2500.00	0.00	1	2784.95	278.15									
2radar_opposing	3	0	2500.00	0.00	0	1860.38	453.49									
2radar_opposing	4	1	2236.07	0.00	1	1951.37	599.03									
2radar_opposing	5	2	4301.16	0.00	0	2876.95	1178.91									
2radar_opposing	6	0	2692.58	0.00	1	3655.45	686.30									
2radar_opposing	7	1	2915.48	0.00	0	4219.63	928.11									
2radar_opposing	8	1	2828.43	0.00	1	2463.33	314.15									
2radar_opposing	9	1	1581.14	0.00	0	1586.91	385.21									
2radar_opposing	10	1	2500.00	0.00	1	3355.55	637.90									
4radar_nooffset	1	2	1500.00	0.00	2	1434.26	331.01	1	2438.26	1086.23	3	2867.79	1061.02	3	2835.16	1085.59
4radar_nooffset	2	2	2500.00	0.00	3	2784.95	278.15	1	2285.92	752.48	3	2302.62	740.25	2	2491.18	909.59
4radar_nooffset	3	2	2500.00	0.00	1	1860.38	453.49	3	2253.14	711.84	3	2621.16	1062.80	2	2398.97	1030.34
4radar_nooffset	4	2	2236.07	0.00	2	1951.37	599.03	3	3024.28	1361.51	2	3119.58	1190.90	2	3234.33	1398.50
4radar_nooffset	5	2	4301.16	0.00	3	2876.95	1178.91	2	2942.87	1515.87	2	3004.07	1405.55	2	3226.09	1313.65
4radar_nooffset	6	2	2692.58	0.00	3	3655.45	686.30	2	3014.81	909.71	2	3371.71	1257.59	2	3560.57	1551.03
4radar_nooffset	7	2	2915.48	0.00	3	4219.63	928.11	3	3345.70	1545.84	3	3161.99	1285.23	3	3113.78	1156.58
4radar_nooffset	8	2	2828.43	0.00	2	2463.33	314.15	2	2033.43	729.26	2	2038.47	771.12	1	2725.99	1304.73
4radar_nooffset	9	2	1581.14	0.00	0	1586.91	385.21	2	2013.93	634.35	2	2552.28	1088.97	3	2962.85	1226.73
4radar_nooffset	10	2	2500.00	0.00	2	3355.55	637.90	1	3201.99	1171.42	2	3425.81	1189.04	2	3366.95	1321.74
4radar_woffset	1	2	1500.00	0.00	2	1434.26	331.01	2	2438.26	1086.23	3	2867.79	1061.02	3	2835.16	1085.59
4radar_woffset	2	2	2500.00	0.00	3	2784.95	278.15	3	2285.92	752.48	1	2302.62	740.25	2	2491.18	909.59
4radar_woffset	3	1	2500.00	0.00	2	1860.38	453.49	2	2253.14	711.84	1	2621.16	1062.80	2	2398.97	1030.34
4radar_woffset	4	2	2236.07	0.00	3	1951.37	599.03	3	3024.28	1361.51	3	3119.58	1190.90	2	3234.33	1398.50
4radar_woffset	5	2	4301.16	0.00	3	2876.95	1178.91	3	2942.87	1515.87	2	3004.07	1405.55	1	3226.09	1313.65
4radar_woffset	6	2	2692.58	0.00	3	3655.45	686.30	2	3014.81	909.71	2	3371.71	1257.59	1	3560.57	1551.03
4radar_woffset	7	2	2915.48	0.00	1	4219.63	928.11	2	3345.70	1545.84	2	3161.99	1285.23	2	3113.78	1156.58
4radar_woffset	8	2	2828.43	0.00	1	2463.33	314.15	2	2033.43	729.26	3	2038.47	771.12	2	2725.99	1304.73
4radar_woffset	9	2	1581.14	0.00	2	1586.91	385.21	2	2013.93	634.35	3	2552.28	1088.97	1	2962.85	1226.73
4radar_woffset	10	1	2500.00	0.00	1	3355.55	637.90	2	3201.99	1171.42	2	3425.81	1189.04	2	3366.95	1321.74
